product_code,detail_desc
145872,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
150959,"Running trousers in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Mesh-lined side pockets, a concealed key pocket in the waistband, a zip at the hems, and reflective details. Regular fit."
156610,"Sports trousers in fast-drying fabric made from recycled polyester with an elasticated drawstring waist, side pockets and tapered legs. Regular fit."
192960,"Lightweight, double-layered running hat in fast-drying, breathable functional fabric with a reflective print."
204892,Outdoor hat in breathable thermal fleece.
224521,"Winter running tights in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Zipped key pocket at the back and reflective details. Legs with windproof sections, mesh sections at the knees and on the inside, and a zip at the hems. Brushed thermal inside."
225286,"Running jacket with front and shoulder sections in windproof functional fabric, ventilating mesh sections in the sides, a small stand-up collar and zip down the front. Thumbholes at the cuffs, reflective details, and a rounded hem. Slightly longer at the back. Brushed thermal inside. Tight fit."
241486,"Running tights in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Key pocket at the back, ventilating mesh sections, reflective details and a zip at the hems."
242354,"Short running shorts in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist, perforated side sections, a key pocket at the back with a concealed zip, and reflective details. Lined with short tights. Regular fit."
254303,Sports socks in fast-drying functional yarn with ventilating hole-knit sections over the feet. The polyester content of the socks is recycled.
261606,"Running vest top in fast-drying, breathable functional fabric with reflective details at the back."
282832,"Softshell jacket in water-repellent functional fabric. Hood with an elastic drawstring and small peak, and a zip down the front with a chin guard. Chest pocket with a zip and earphone outlet on the inside, zipped side pockets, elastication at the cuffs and an elastic drawstring at the hem. Thermal fleece inside. Size of chest pocket approx. 12x17 cm."
290022,Cap in ventilating mesh with an adjustable plastic fastener at the back. Lined.
290675,"Padded, thermal bodywarmer with a lined hood, zip at the front, side pockets and a zipped chest pocket. Lined. Regular fit. Size of chest pocket 16x20 cm."
328480,"Joggers in sturdy, cotton-blend jersey with an elasticated drawstring waist, zipped side pockets, and a ventilating mesh section at the crotch. Tapered legs with seams at the knees and wide ribbing at the hems."
333159,"Base layer tights in soft, fast-drying, breathable, functional fabric with an elasticated waist."
334077,"Long-sleeved base layer top in soft, fast-drying, breathable, functional fabric."
335896,Jacquard-patterned sports top in fast-drying functional fabric with long sleeves. Tight fit. Seamless.
362997,Sports vest top in fast-drying functional fabric with a racer back that has a rubber print and ventilating hole pattern.
