product_code,detail_desc
162074,Fine-knit trainer socks in various colours.
181160,Chelsea boots with elasticated gores in the sides and rubber soles.
181448,Fine-knit socks.
186595,Fine-knit over-the-knee socks.
189616,Leggings in extra sturdy jersey with an elasticated waist.
189626,"Short, bell-shaped skirt in stretch jersey with wide elastication at the waist. Unlined."
189634,Leggings in stretch jersey with an elasticated waist.
189654,Short jersey skirt with an elasticated waist.
189691,Long-sleeved top in sweatshirt fabric with ribbing at the cuffs and hem.
192460,"Short, fine-knit dress with a hood, waterfall neckline and long sleeves. Unlined."
203027,Short-sleeved top in jersey with sewn-in turn-ups on the sleeves.
212042,Cotton trainers with closed lacing and a loop at the back. Fabric linings and insoles and rubber soles.
212629,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
213690,Solid colour hair elastics with no metal clips.
213691,Hair elastics.
215337,Short-sleeved jersey top with a chest pocket.
216081,"Cardigan in a bouclé knit made from a wool blend with a shawl collar, zip at one side and long sleeves."
233091,Fine-knit gloves.
237032,Jersey leggings with an elasticated waist.
238197,Long-sleeved fitted top in jersey.
240670,Long T-shirt in jersey with sewn-in turn-ups on the sleeves.
241412,Leggings in patterned jersey with an elasticated waist.
243613,"High-waisted leggings in sturdy, ribbed jersey with an elasticated waist."
252229,"Sweatpants with an elasticated drawstring waist, zipped side pockets, a fake back pocket, low crotch and tapered legs with ribbed hems."
252298,"Jeans in washed, stretch denim with hard-worn details, a regular waist, front and back pockets and skinny legs."
255396,"Cardigan in sweatshirt fabric with a lined hood, diagonal zip at the front and side pockets. Ribbed cuffs and a raw-edge hem."
256151,"Low-rise trousers in washed, superstretch twill with front and back pockets and skinny legs."
258650,"Ankle boots in imitation suede with elastic gores in the sides, fabric linings and insoles and rubber soles. Heel 6.5 cm."
272591,"Fitted, sleeveless dress in ribbed jersey."
289597,Umbrella with a telescopic handle and matching cover. Length 23 cm folded.
289834,Tote bag in a cotton weave with a print motif and two handles at the top. Size 35x41 cm.
292551,Hat in a soft double knit.
294237,Cap with an adjustable metal fastener at the back.
294895,"Double-layered hat in a soft, fine knit with a sewn-in turn-up."
300907,"Imitation leather biker jacket with shoulder tabs, notch lapels with a press-stud, and a diagonal zip down the front. Long sleeves with quilted sections, elastication on the underside of the sleeves, a zipped chest pocket, zipped side pockets and an inner pocket. Lined."
300908,"Double-breasted coat in soft fabric with wide shawl lapels and concealed press-studs down the front. One inner pocket, a tab at the back and an asymmetric hem. Lined."
301364,"Shorts in superstretch twill with a high waist, back pockets and sewn-in turn-ups at the hems."
301656,"Long, straight-cut shirt in soft Tencel™ lyocell denim with a collar and buttons down the front. Chest pockets with a pleat, and long sleeves with buttoned cuffs."
301901,"Fine-knit, slightly transparent cardigan with no buttons."
304946,"Trousers in washed stretch twill with a high waist, concealed zip in the side and slim legs."
305304,"5-pocket, low-rise shorts in washed denim with hard-worn details, a button fly and sewn-in turn-ups at the hems."
305305,"Shaping. Ankle-length, 5-pocket jeans in washed denim with technical stretch that holds and shapes the tummy, thighs and seat, while also keeping the jeans in shape. The jeans have a regular waist and skinny legs."
305584,String briefs in lace with a lined gusset.
306307,Fitted top in jersey with short sleeves.
307656,Short shorts in sweatshirt fabric with an elasticated drawstring waist and sewn-in turn-ups at the hems.
309509,"Padded, gently tailored jacket in woven fabric with a slight sheen. Stand-up collar, lined hood with a faux fur trim, and a zip down the front. Handwarmer pockets, side pockets and a drawstring at the waist. Lined."
310365,"Reversible scarf in a soft weave with different designs on the front and back, and fringes on the short sides. Size 72x210 cm."
312543,"Low-rise leggings in stretch imitation leather with quilted details on the knees. Fake pockets with decorative zips, and a visible zip fastening at the front."
312878,"Coat in a woven wool blend with a hood and concealed press-studs down the front. Tie belt at the waist, side pockets and a single back vent. Lined. The wool content of the coat is recycled."
316085,Fitted polo-neck top in ribbed jersey with long sleeves.
316242,"Wide trousers in a cool weave with an elasticated waist, side pockets and tapered legs."
316553,"Short jersey dress with narrow shoulder straps, a seam at the waist and bell-shaped skirt."
316657,"Biker jacket in imitation leather with a diagonal zip at the front, side pockets and ribbed jersey sections under the arms. Lined."
317055,"Vest top in cotton jersey with worn details, a racer back, and raw edges around the neckline and armholes."
317348,"Long-sleeved jumper in a rib knit with a slightly wider neckline, worn details and ribbing around the neckline, cuffs and hem."
318066,Braided headband in a soft knit.
320880,"Ankle boots in suede with a loop at the top of each side, warm pile lining and insoles and rubber soles."
323274,Fine-knit trainer socks in various colours and designs.
324375,Earmuffs in faux fur and imitation suede. Adjustable size.
327310,"Short jersey skirt with a draped, wrapover front and concealed elastication at the waist."
331093,"Sleeveless jersey jumpsuit with a deep neckline at the back, elasticated seam at the waist, side pockets and tapered legs."
336125,"Poncho in woven fabric with fringes at the hem. Width 135 cm, length of back 78 cm."
341917,Hair clips comprising a metal clip and glittery plastic skeleton hand. Size approx. 4x8 cm.
348657,"Choker with a metal pendant. Adjustable length, 30-38 cm."
348870,"Long-sleeved top in soft, airy slub jersey with a wide neckline and dropped shoulders. Slightly longer at the back."
351771,"Briefs in cotton jersey with lace trims, a low waist, lined gusset and cutaway coverage at the back."
351914,Hipster briefs in cotton jersey with a mid waist with narrow elastication and a lined gusset.
355072,Fitted vest top in soft jersey.
355421,"Short, gently fitted dress in a patterned weave with a small stand-up collar, covered buttons at the back, long sleeves with a flounce at the cuffs and a flounce at the hem. Jersey lining."
355569,"Long, fitted jersey top with narrow adjustable shoulder straps."
356289,Short skater skirt in soft fabric. Unlined.
358483,"Jumper in a light, fine, soft knit with long sleeves, raw edges and a rounded hem. Slightly longer at the back."
359804,Fine-knit hat in soft yarn with a roll edge.
359909,Scarf in a soft weave with fringes on the short sides. Size 80x200 cm.
360295,"Soft shopper with two handles and a magnetic fastener at the top, and one zipped inner compartment. Size 19x30x39 cm."
364409,Padded sleep mask with an elastic strap at the back. Polyester lining.
365102,"Fabric-covered, USB 2.0 charging cable suitable for iPhones 5/5c/5s and iPhone 6/6s. Length 1 m. The cable is only for charging and synchronisation via a computer."
365592,"Slip-on trainers with elastic gores in the sides, a loop at the back, fabric linings and insoles and rubber soles."
368505,"Long jacket in a textured weave with 3/4-length sleeves with sewn-in turn-ups, pockets at the front and no buttons. Unlined."
369423,"Heart-shaped sunglasses with metal frames and UV-protective, tinted lenses."
374762,"Short, sleeveless, fitted dress in jersey."
375849,Baseball shirt in soft jersey with 3/4-length raglan sleeves in a contrasting colour and a rounded hem.
377266,V-neck top in airy jersey made from a viscose blend with narrow adjustable shoulder straps.
377277,"Short, fitted jersey top with narrow shoulder straps."
379780,Short T-shirt in soft jersey with a trim in a contrasting colour at the neckline and sleeves.
380609,Short-sleeved top in airy jersey with a rounded hem. Longer at the back.
380894,Make-up bag in imitation leather with a zip at the top with a tassel. Lined. Size 6x10.5x18.5 cm.
381038,Cropped top in soft sweatshirt fabric with a drawstring hood and long sleeves with ribbed cuffs. Soft brushed inside.
381187,"Long T-shirt in soft jersey containing some linen with short sleeves, a roll edge around the neckline and slits in the sides. Slightly longer at the back."
384654,"Short T-shirt dress in soft jersey with short cap sleeves with sewn-in turn-ups, and a rounded hem. Slightly longer at the back."
384851,"Short shorts in sweatshirt fabric with an elasticated drawstring waist, back pocket and contrasting colour trims."
388573,"H&M LOVES COACHELLA. Imitation leather belt with a large, embossed metal buckle. Width 2.5 cm."
391598,Smartphone case in plastic. Fits iPhone 6/6s/7.
392168,Short shorts in stretch twill with a regular waist and sewn-in turn-ups at the hems.
392203,Backpack in grained imitation leather with narrow adjustable shoulder straps and a handle and drawstring at the top. Unlined. Size 15x28x35 cm.
393447,"Long, padded parka in cotton twill with a drawstring hood and stand-up collar with a press-stud. Zip and button band with press-studs down the front, flap side pockets with a press stud, and a drawstring at the waist. Elasticated cuffs and a gently rounded hem. Slightly longer at the back. Lined."
394803,"Gently flared vest top in marled jersey made from a cotton blend with deep armholes, a racer back and rounded hem. Slightly longer at the back."
398089,"Shorts in washed denim with a regular waist, side and back pockets, and sewn-in turn-ups at the hems."
398127,"5-pocket, low-rise shorts in washed denim with worn details. Coin pocket and back pockets with a flap and press-stud, and sewn-in turn-ups at the hems."
398829,"Shorts in airy jersey with an elasticated waist, side pockets and wide legs."
398947,"Round sunglasses with metal and plastic frames and tinted, UV-protective lenses."
398959,"Sunglasses with plastic and metal frames and tinted, UV-protective lenses."
399087,"5-pocket, low-rise jeans in washed, superstretch denim with a zip fly and button, and super-skinny legs."
399136,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs."
399201,"5-pocket jeans in washed, stretch denim with a high waist, zip fly and button and skinny legs. Shaping – denim with a stretch function that holds in and shapes the waist, thighs and bum while keeping the jeans in shape."
399223,"Jeggings in washed, superstretch denim with a high waist, fake front pockets, real back pockets and skinny legs."
400246,"Supersoft, low-rise jeggings in softly draping, ultra-light denim that moulds to the body for a feather-light feel. Fake front pockets, real back pockets and a zip fly and button."
400285,"5-pocket jeans in washed stretch denim with hard-worn details, a regular waist, zip fly and button, and straight legs."
400296,"5-pocket, calf-length jeans in washed denim with a high waist and straight legs with raw-edge, frayed hems."
400319,"5-pocket, low-rise jeans in washed denim with hard-worn details, a button fly and slightly wider, tapered legs."
400901,Knee-socks in a fine-knit cotton blend.
401044,"Short dress in a washed viscose weave with a round neck, short sleeves with sewn-in turn-ups, and a rounded hem. Slightly longer at the back."
401136,"Lightly padded parka in cotton twill with a pile-lined hood with a detachable faux fur trim, a zip and wind flap with press-studs down the front and a drawstring at the waist and hem. Flap front pockets with a press-stud, elastication and a tab and press-stud at the cuffs and a single back vent. Pile lining."
401729,"Ankle boots with lacing at the front, a loop at the back, fabric linings, imitation leather insoles and chunky rubber soles. Platform front 2 cm, heel 4.5 cm."
403994,"CONSCIOUS. Short shorts in soft Tencel™ lyocell twill with an elasticated drawstring waist, side pockets and sewn-in turn-ups at the hems."
404609,"Short, off-the-shoulder blouse in chiffon crêpe with smocking at the top, 3/4-length trumpet sleeves and a smocked hem."
405310,"Sunglasses with plastic and metal frames and tinted, UV-protective lenses."
405586,Short jumper in a soft cable knit with a slightly wider neckline and dropped shoulders.
405635,"Pile-lined jacket in imitation suede with a diagonal zip at the front, side pockets and an asymmetric hem."
406160,"Padded parka in woven fabric with a faux-fur-lined hood, zip and wind flap with concealed press-studs down the front, drawstring at the waist, ribbed cuffs and a single back vent. Flap pockets with a hook and loop fastening and decorative zips. Quilted lining."
406181,"Strapless dress in a crinkled, patterned weave with elastication and a flounce at the top, an elasticated waist and a flounce at the hem. Longer at the back. Unlined."
406979,"Playsuit in woven fabric with decorative lace trims, a wrapover front with a concealed press-stud, narrow adjustable shoulder straps that cross at the back and an elasticated waist. Smocking at the back, side pockets and short legs. Lined at the top."
406987,"Off-the-shoulder playsuit in an airy, patterned weave with a flounce at the top, an elasticated seam at the waist and short legs. Lined."
407031,"Sleeveless blouse in a viscose weave with a lace collar and sewn-on tie at the neck. Opening with two buttons at the back of the neck, a seam at the top and gentle flare to the hem."
408045,"Soft, block-coloured shopper with two handles and a concealed magnetic fastener at the top. Unlined. Size 9x27x39 cm."
408875,"Cropped top in soft, ribbed jersey with a V-neck, straight cut at the back and narrow shoulder straps."
409683,"Vest top in crêped jersey with raw, scalloped edges."
409730,"Cropped top in jersey crêpe in a narrow cut at the top with narrow shoulder straps, raw, scalloped edges and an opening with a covered button at the back of the neck."
409731,"Short-sleeved jumper in a soft, fine knit with a collar and opening with a button at the back of the neck. Ribbed trims around the sleeves and hem."
